,,crystal radius,FE,valence s,valence p,valence d,valence f,thermal conductivity,Cohesive energy
DecisionTreeRegressor,Mean Rank,2.2222222222222223,3.4444444444444446,4.5,5.0,3.7142857142857144,3.0,4.285714285714286,1.4
DecisionTreeRegressor,Non-Zero Frequency(%),90.0,90.0,40.0,10.0,70.0,30.0,70.0,100.0
DecisionTreeRegressor,IIS,0.7515000000000001,0.6988064516129033,0.3413333333333334,0.133,0.5578461538461539,0.311,0.5459999999999999,0.9057142857142858
RandomForestRegressor,Mean Rank,3.6,2.0,5.3,7.7,2.2,7.3,5.5,2.4
RandomForestRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RandomForestRegressor,IIS,0.7616666666666667,0.8350000000000001,0.7322641509433963,0.7128571428571429,0.8200000000000001,0.7152054794520548,0.7300000000000001,0.8075000000000001
GradientBoostingRegressor,Mean Rank,3.4,2.4,6.125,7.625,3.0,6.25,5.1,1.9
GradientBoostingRegressor,Non-Zero Frequency(%),100.0,100.0,80.0,80.0,100.0,80.0,100.0,100.0
GradientBoostingRegressor,IIS,0.7670588235294118,0.8075000000000001,0.5898775510204082,0.5792786885245902,0.78,0.5888,0.7347058823529412,0.8436842105263158
XGBRegressor,Mean Rank,3.3,1.1,6.666666666666667,7.0,3.3,5.6,5.375,2.3
XGBRegressor,Non-Zero Frequency(%),100.0,100.0,30.0,10.0,100.0,50.0,80.0,100.0
XGBRegressor,IIS,0.77,0.97,0.2505,0.11414285714285714,0.77,0.39392857142857146,0.5973953488372094,0.8134782608695653
SVR,Mean Rank,8.0,7.0,5.5,5.5,2.0,4.0,1.0,3.0
SVR,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVR,IIS,0.71125,0.7171428571428572,0.7300000000000001,0.7300000000000001,0.8350000000000001,0.7525000000000001,1.0,0.78
GaussianProcessRegressor,Mean Rank,5.0,4.3,5.8,7.9,2.3,7.0,1.0,2.7
GaussianProcessRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GaussianProcessRegressor,IIS,0.736,0.7467441860465117,0.726896551724138,0.7117721518987342,0.8134782608695653,0.7171428571428572,1.0,0.7922222222222223
KNeighborsRegressor,Mean Rank,7.8,5.3,6.8,5.9,2.3,3.2,1.0,3.7
KNeighborsRegressor,Non-Zero Frequency(%),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNeighborsRegressor,IIS,0.7123076923076923,0.7322641509433963,0.718529411764706,0.7259322033898306,0.8134782608695653,0.7731250000000001,1.0,0.7591891891891892
